client,industry,company_size,private,country,town,region,procurement,delivery_time,terms_of_payment,delivery_conditions,direction,catalog_number,quantity,manufacturer,product_category,profitability,contract,cp_date,merck_competitors,other_competitors
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,15.01.2018,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SYN185UV1,1,Millipore,расходные материалы,40,1,15.01.2018,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,TANKMPK03,1,Millipore,расходные материалы,40,1,15.01.2018,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,15.01.2018,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,10,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,18.09.2018,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,10,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,18.09.2018,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,13.05.2019,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,13.05.2019,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,20.01.2020,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,20.01.2020,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SYN185UV1,1,Millipore,расходные материалы,40,1,20.01.2020,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,TANKMPK03,1,Millipore,расходные материалы,40,1,20.01.2020,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,22.07.2020,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,22.07.2020,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,30,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,19.02.2021,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,30,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,19.02.2021,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,10,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,07.12.2021,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,10,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,07.12.2021,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,10,10,DDP,лабораторное,SYN185UV1,1,Millipore,расходные материалы,40,1,07.12.2021,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,10,10,DDP,лабораторное,TANKMPK03,1,Millipore,расходные материалы,40,1,07.12.2021,0,0
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,40,1,18.08.2022,0,1
Санта Бремор,пищевая,1,1,РБ,Брест,Брест,закупка,60,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,40,1,18.08.2022,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,35,0,20.11.2018,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,35,0,20.11.2018,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,ZLXUVLPL1,1,Millipore,расходные материалы,35,0,20.11.2018,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,35,0,20.11.2018,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,30,1,10.12.2018,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,ZLXUVLPL1,1,Millipore,расходные материалы,30,1,10.12.2018,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,30,1,10.12.2018,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,30,1,10.12.2018,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,35,0,04.11.2019,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,35,0,04.11.2019,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,35,0,04.11.2019,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,30,1,10.12.2019,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,30,1,10.12.2019,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,30,1,10.12.2019,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,35,0,01.12.2020,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,35,0,01.12.2020,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,ZLXUVLPL1,1,Millipore,расходные материалы,35,0,01.12.2020,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,60,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,35,0,01.12.2020,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,30,1,15.12.2020,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,30,1,15.12.2020,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,ZLXUVLPL1,1,Millipore,расходные материалы,30,1,15.12.2020,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,60,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,30,1,15.12.2020,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,10,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,30,0,01.11.2021,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,10,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,30,0,01.11.2021,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,маркетинг,10,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,30,0,01.11.2021,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,30,1,22.12.2021,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,30,1,22.12.2021,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,закупка,10,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,30,1,22.12.2021,0,0
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,тендер,60,10,DDP,лабораторное,PR0GTLCS1,4,Millipore,расходные материалы,30,0,16.11.2022,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,тендер,60,10,DDP,лабораторное,TANKVNT02,2,Millipore,расходные материалы,30,0,16.11.2022,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,тендер,60,10,DDP,лабораторное,ZLXUVLPL1,1,Millipore,расходные материалы,30,0,16.11.2022,0,1
Ганцевичи СПК,фармацевтическая,2,0,РБ,Ганцевичи,Брест,тендер,60,10,DDP,лабораторное,CDUFBI001,2,Millipore,расходные материалы,30,1,16.11.2022,0,1
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,10,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,35,1,06.03.2019,0,0
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,10,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,35,1,06.03.2019,0,0
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,10,10,DDP,лабораторное,SYN185UV1,1,Millipore,расходные материалы,35,1,06.03.2019,0,0
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,60,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,35,1,16.10.2020,0,0
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,10,10,DDP,лабораторное,SPR00SIA1,1,Millipore,расходные материалы,35,1,19.05.2021,0,0
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,60,10,DDP,лабораторное,MPGP04001,1,Millipore,расходные материалы,35,1,19.05.2021,0,0
Витебский медицинский университет,научная,2,0,РБ,Витебск,Витебск,закупка,10,10,DDP,лабораторное,SYN185UV1,1,Millipore,расходные материалы,35,1,19.05.2021,0,0
